,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_calc_atr_…(H,L,C,14)","Exit_calc_atr_…(H,L,C,14)",Entry_λ(V),Exit_λ(V),"Entry_calc_adx(H,L,C,14)","Exit_calc_adx(H,L,C,14)"
0,-261,418,452,4303.31,3944.0682724993585,4590.325382000514,3944.0682724993585,92901.0645860186,861.0262916489332,0.08271371948375598,2017-09-03 14:00:00,2017-09-05 00:00:00,1 days 10:00:00,,-26.48606497662686,-85.49272050067387,118.39101089305576,133.75007367786037,31.7983897,66.9207177,29.4747838462539,30.4519173181382
1,-259,418,460,4303.31,4190.0,4243.261378749893,,28467.383084000103,879.906916,0.025541426483335062,2017-09-03 14:00:00,2017-09-05 08:00:00,1 days 18:00:00,,-26.48606497662686,-88.31153454605175,118.39101089305576,162.05626371602133,31.7983897,55.136027850000005,29.4747838462539,34.72645920764316
2,-271,534,571,4263.49,3917.2814451815557,4546.792843854756,3917.2814451815557,92935.72273114068,886.7956246576807,0.08043556950769705,2017-09-08 17:00:00,2017-09-10 06:00:00,1 days 13:00:00,,-30.53677795579058,-48.50131350021733,117.52645744380428,84.28434431042737,38.5989237,27.48207455,27.28917288944853,36.44312196243007
3,-271,534,577,4263.49,4069.43,4208.721907530259,,51686.97147199999,903.288528,0.044734907786813174,2017-09-08 17:00:00,2017-09-10 12:00:00,1 days 19:00:00,,-30.53677795579058,-72.40355309821068,117.52645744380428,98.47586504090948,38.5989237,27.976944349999997,27.28917288944853,40.67695636936415
4,-442,641,671,3933.21,3719.4063462740987,4110.786922980721,3719.4063462740987,93148.23237682712,1352.982570021261,0.05358030900648364,2017-09-13 04:00:00,2017-09-14 10:00:00,1 days 06:00:00,,-35.94228793090135,-50.75134961877514,78.81089281992183,94.86362274416601,43.932521050000005,34.4043427,35.679870746581486,26.393592719268753
5,-442,641,698,3933.21,3332.99,3900.6010577123498,,264012.5758400001,1284.66416,0.15186413133293164,2017-09-13 04:00:00,2017-09-15 13:00:00,2 days 09:00:00,,-35.94228793090135,-142.89577952156654,78.81089281992183,167.05671900407083,43.932521050000005,82.44435935,35.679870746581486,45.98424998328245
6,-227,720,759,3490.0,3826.274834863193,3826.274834863193,,-76998.7052689504,664.317755005578,-0.0971923624060568,2017-09-16 11:00:00,2017-09-18 02:00:00,1 days 15:00:00,,81.12893036819217,22.978368878303908,148.13395396492587,66.9103794714728,60.093813250000004,29.248828300000003,33.08994908215601,15.710300483254166
7,-229,720,759,3490.0,3826.274834863193,3826.274834863193,3047.1564564210084,-77677.10795854467,670.1707748734685,-0.0971923624060568,2017-09-16 11:00:00,2017-09-18 02:00:00,1 days 15:00:00,,81.12893036819217,22.978368878303908,148.13395396492587,66.9103794714728,60.093813250000004,29.248828300000003,33.08994908215601,15.710300483254166
8,549,770,786,4050.0,3840.4606676494695,3840.4606676494695,,-116769.83862305705,1732.7451626158236,-0.05251741151051615,2017-09-18 13:00:00,2017-09-19 05:00:00,0 days 16:00:00,,73.88549829511193,49.97263828514697,83.14872977847912,78.39241854254348,38.38183835,43.01917545,32.96195763165931,24.98502145448964
9,235,770,786,4050.0,3840.4606676494695,3840.4606676494695,4788.319996314491,-49983.44640513371,741.7033027590503,-0.05251741151051615,2017-09-18 13:00:00,2017-09-19 05:00:00,0 days 16:00:00,,73.88549829511193,49.97263828514697,83.14872977847912,78.39241854254348,38.38183835,43.01917545,32.96195763165931,24.98502145448964
10,-520,845,864,3730.0,3542.031970622565,3875.766423501948,3542.031970622565,96230.79262637669,1512.5826498894935,0.049613730989057886,2017-09-21 16:00:00,2017-09-22 11:00:00,0 days 19:00:00,,-26.79278477588942,-49.290979362741595,65.50605671206317,62.06708761118998,38.7828004,40.1875154,24.89076966310496,35.280277385462554
