,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(C),Exit_λ(C),"Entry_calc_atr_…(H,L,C,14)","Exit_calc_atr_…(H,L,C,14)",Entry_λ(V),Exit_λ(V),"Entry_calc_adx(H,L,C,14)","Exit_calc_adx(H,L,C,14)"
0,-2,418,435,323.02,291.12422986420967,352.2862314329129,291.12422986420967,63.30022488768926,0.49131538389136775,0.09798189723188853,2017-09-03 14:00:00,2017-09-04 07:00:00,0 days 17:00:00,,-4.302334446908879,-4.486023143440001,11.716071708697013,13.48292158918483,278.1135115,202.93278650000002,31.010560310512744,24.274526331277585
1,-3,418,448,323.02,299.04,320.52903831070165,,71.19352799999989,0.746472,0.07346658411243871,2017-09-03 14:00:00,2017-09-04 20:00:00,1 days 06:00:00,,-4.302334446908879,-14.192819770541695,11.716071708697013,14.88170788819973,278.1135115,305.79047,31.010560310512744,39.67068373369381
2,-1,454,456,242.01,283.3671691394459,283.3671691394459,,-41.567320007101664,0.21015086765577834,-0.1717586876868793,2017-09-05 02:00:00,2017-09-05 04:00:00,0 days 02:00:00,,-12.331638034823584,-12.453860369435173,20.306597364051836,19.415025278187553,393.290578,343.267008,34.733068458440385,35.62502317431271
3,-1,454,456,242.01,283.3671691394459,283.3671691394459,185.5902239007556,-41.567320007101664,0.21015086765577834,-0.1717586876868793,2017-09-05 02:00:00,2017-09-05 04:00:00,0 days 02:00:00,,-12.331638034823584,-12.453860369435173,20.306597364051836,19.415025278187553,393.290578,343.267008,34.733068458440385,35.62502317431271
4,-3,533,534,295.85,307.58670641062287,307.58670641062287,,-35.93424327956128,0.7241240476927475,-0.040487007244168045,2017-09-08 15:00:00,2017-09-08 16:00:00,0 days 01:00:00,,-2.032998405030717,-3.2101751317452965,9.640363095392772,10.710337160007574,175.16614850000002,192.5602635,25.85823824079056,27.88081810223916
5,-3,533,534,295.85,307.58670641062287,307.58670641062287,262.73267307642334,-35.93424327956128,0.7241240476927475,-0.040487007244168045,2017-09-08 15:00:00,2017-09-08 16:00:00,0 days 01:00:00,,-2.032998405030717,-3.2101751317452965,9.640363095392772,10.710337160007574,175.16614850000002,192.5602635,25.85823824079056,27.88081810223916
6,-3,535,573,296.06,262.04,319.6227417520167,263.9289885199773,101.39027999999995,0.6697200000000001,0.11415510369519685,2017-09-08 17:00:00,2017-09-10 07:00:00,1 days 14:00:00,,-4.4314067045431855,-4.225688877542513,11.385313077149888,8.903093264842557,205.269568,142.6123445,29.986387534943653,42.99336488914345
7,-3,535,580,296.06,284.05,290.7048314199962,,35.333867999999974,0.6961320000000001,0.039782327906505356,2017-09-08 17:00:00,2017-09-10 14:00:00,1 days 21:00:00,,-4.4314067045431855,-5.32525659552159,11.385313077149888,8.616591041803893,205.269568,176.8975725,29.986387534943653,43.14759477607315
8,-6,641,649,281.14,262.8473488070355,292.57861087484065,262.8473488070355,108.4503375206502,1.3055696371368852,0.06429201199915235,2017-09-13 03:00:00,2017-09-13 11:00:00,0 days 08:00:00,,-2.2263383327779125,-6.088580973684883,5.940582512108065,6.574683665537297,206.40217900000002,208.060995,31.227206128946225,40.01861175388905
9,-6,641,655,281.14,275.0,277.1412248011726,,35.50526399999992,1.334736,0.021048388703137202,2017-09-13 03:00:00,2017-09-13 17:00:00,0 days 14:00:00,,-2.2263383327779125,-7.146608601229448,5.940582512108065,7.547267066518896,206.40217900000002,277.76748349999997,31.227206128946225,44.006846104946334
