Year,Buy_and_Hold [%],Scheme_A_Return [%],Scheme_A_Trades,Scheme_A_MaxDD [%],Scheme_B_Return [%],Scheme_B_Trades,Scheme_B_MaxDD [%],Scheme_C_Return [%],Scheme_C_Trades,Scheme_C_MaxDD [%]
2017,261.35,12.96,30,-7.95,21.11,60,-8.34,14.79,48,-8.08
2018,-83.5,62.66,142,-10.49,76.27,184,-10.83,70.27,172,-10.34
2019,6.4,28.19,170,-13.54,48.32,196,-14.83,55.11,178,-13.53
2020,886.39,126.01,171,-8.74,117.16,214,-9.65,141.62,196,-8.77
2021,330.41,25.53,64,-7.92,36.78,107,-7.1,18.31,83,-8.47
2022,-64.36,28.87,148,-14.8,55.26,190,-13.27,46.28,177,-11.36
2023,116.88,19.11,172,-16.92,20.54,211,-16.14,26.55,195,-15.45
2024,37.73,20.92,150,-12.71,20.16,183,-10.61,30.69,175,-13.28
2025,-8.04,27.54,125,-11.98,21.59,169,-12.66,33.01,147,-13.39
2026,-41.28,8.42,73,-11.29,7.87,99,-12.92,8.83,85,-12.3
